AAB	ABELAG AVIATION
ANQ	AEROLINEA DE ANTIOQUIA S.A. (ADA)
ANR	YANAIR, AVIACOMPANY LTD
ANS	ANDES LINEAS AEREAS, S.A.
ANT	AIR NORTH CHARTER
ANU	ANDALUS
ANV	NESTOIL LIMITED
ANW	FLY ME (PTY) LTD
ANX	SECRETARIA DE MARINA
ANZ	AIR NEW ZEALAND LTD
AOA	AIR OCEAN AIRLINES LLC
AOB	AEROCARIBE CORO, C.A.
AOC	TITANFLY INTERNATIONAL
AOD	AERO VODOCHODY
AOF	ATAIR PTY LTD
AOJ	AVCON JET AG
AOL	AEOLIAN AIRLINES S.A.
AOM	AIR OCEAN MAROC
AON	AERO ENTREPRISE
AOO	TREBET AVIATION LTD
AOR	AFRO INTERNATIONAL ENT. LIMITED
AOS	AEROS LTD (T/A AEROS FLIGHT TRAINING)
AOT	ASIA OVERNIGHT EXPRESS CORPORATION
AOU	AIR TRACTOR D.O.O.
AOV	AERO VISION
APA	APOYO LOGISTICO AEREO, S.A. DE C.V.
APC	AIRPAC (SEATTLE, WA)
APE	PARCEL EXPRESS (DENVER, CO)
APF	AMAPOLA FLYG AB
APG	PHILIPPINES AIRASIA INC.
APH	ALPHA AVIATION, INC. (DALLAS, TX)
API	ASA PESADA, LDA.
APJ	PEACH AVIATION LIMITED
APK	AIR PEACE LIMITED
APL	CORPORATIVO AEREO PRINCIPAL, S.A. DE C.V.
APM	AEROPOLE OY
APN	ALPINE AIRLINES
APO	AIR POSH
APP	ALPAVIA D.O.O.
APR	AEROLINEAS PRIMORDIALES, S A DE C.V.
APS	AEROPARADISE, S.A. DE C.V.
APT	AVIATION TRAINING-1 INTERNATIONAL
APU	TRANSPORTE AEREO EXPRESO MOCHE S.A.C.
APV	AIR PHILIP
APW	ALPHA THREE AVIATION, INC
APX	NALJETS LTD
APZ	AIR PREMIA
AQA	AEROATLAS S.A.
AQL	ALTAIR AIRLINES
AQQ	APSARA INTERNATIONAL AIR
AQS	AIRSTREAM
AQT	AVIONES DE RENTA DE QUINTANA ROO, S.A. DE C.V.
AQU	AIRQUARIUS AVIATION
ARA	ARIK AIR LTD
ARB	AIRBAHN
ARD	AEROANDINAS, C.A.
